Timestamp,Are you interested in any of these fields?,Your current year of study?,Which of these skills are you currently learning or practicing?,How comfortable do you feel with these skills overall?,Have you done any internship related to these skills?,Consent
12/28/2025 2:47,Data analytics,3rd,"Excel / Google Sheets, SQL, Python, Power BI, Tableau, Data cleaning, Data visualization",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 5:37,AI/ML,3rd,"Python, Deep learning, Scikit-learn / TensorFlow / PyTorch",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 8:19,Data science,3rd,Python,Beginner,No,I understand that my responses are anonymous.
12/28/2025 10:22,Just Exploring,1st,Python,Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:14,Data science,Final year,"Excel / Google Sheets, SQL, Python, Data cleaning, Data visualization, Machine learning basics",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 12:18,AI/ML,3rd,LLMs and transformers ,Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 12:19,AI/ML,3rd,"Excel / Google Sheets, Python",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 12:22,AI/ML,3rd,"Python, Data visualization, Machine learning basics, Model evaluation & metrics, Scikit-learn / TensorFlow / PyTorch",Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:24,AI/ML,3rd,"Python, Data cleaning, Data visualization, Machine learning basics, Deep learning, Model evaluation & metrics, Scikit-learn / TensorFlow / PyTorch",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 12:25,AI/ML,3rd,"Python, Data cleaning, Data visualization, Machine learning basics",Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:25,AI/ML,3rd,"Python, Machine learning basics, Deep learning",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 12:35,AI/ML,3rd,"Python, Machine learning basics",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 12:43,Data analytics,2nd,"Excel / Google Sheets, SQL, Python",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 12:43,AI/ML,Postgraduate,"Excel / Google Sheets, SQL, Python, R, Power BI, Tableau, Statistics, Data cleaning, Data visualization, Machine learning basics, Deep learning, Model evaluation & metrics, Scikit-learn / TensorFlow / PyTorch",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 12:44,AI/ML,2nd,nlp and transformers and llm/gen ai model fine tuning ,Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:46,AI/ML,1st,SQL,Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:53,Just Exploring,3rd,"Linux , Android development ",Beginner,No,I understand that my responses are anonymous.
12/28/2025 12:54,AI/ML,3rd,"Python, Machine learning basics, Scikit-learn / TensorFlow / PyTorch",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 13:37,AI/ML,3rd,"Python, Machine learning basics",Beginner,Yes,I understand that my responses are anonymous.
12/28/2025 13:40,AI/ML,1st,Python,Beginner,No,I understand that my responses are anonymous.
12/28/2025 13:45,AI/ML,3rd,"Python, Statistics, Data cleaning, Data visualization, Machine learning basics, Deep learning, Model evaluation & metrics, Scikit-learn / TensorFlow / PyTorch",Beginner,Yes,I understand that my responses are anonymous.
12/28/2025 13:48,AI/ML,Final year,"Python, Data cleaning, Machine learning basics, Deep learning, Scikit-learn / TensorFlow / PyTorch",Intermediate,Yes,I understand that my responses are anonymous.
12/28/2025 13:57,AI/ML,1st,Python,Beginner,No,I understand that my responses are anonymous.
12/28/2025 14:23,Just Exploring,Postgraduate,Excel / Google Sheets,Beginner,No,I understand that my responses are anonymous.
12/28/2025 14:32,Data science,3rd,"Machine learning basics, Deep learning, Scikit-learn / TensorFlow / PyTorch",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 14:42,Just Exploring,3rd,"SQL, Python, Machine learning basics",Beginner,Yes,I understand that my responses are anonymous.
12/28/2025 14:52,AI/ML,1st,Excel / Google Sheets,Beginner,Yes,I understand that my responses are anonymous.
12/28/2025 14:52,AI/ML,1st,Excel / Google Sheets,Beginner,Yes,I understand that my responses are anonymous.
12/28/2025 15:00,AI/ML,3rd,Scikit-learn / TensorFlow / PyTorch,Intermediate,No,I understand that my responses are anonymous.
12/28/2025 15:02,AI/ML,1st,"SQL, Python, Scikit-learn / TensorFlow / PyTorch",Beginner,No,I understand that my responses are anonymous.
12/28/2025 16:21,AI/ML,3rd,"SQL, Python, Power BI, Machine learning basics, Deep learning, Model evaluation & metrics, Scikit-learn / TensorFlow / PyTorch",Intermediate,No,I understand that my responses are anonymous.
12/28/2025 17:06,AI/ML,3rd,"Excel / Google Sheets, SQL, Python, Statistics, Machine learning basics, Scikit-learn / TensorFlow / PyTorch",Beginner,No,I understand that my responses are anonymous.
12/28/2025 17:57,AI/ML,3rd,Machine learning basics,Intermediate,No,I understand that my responses are anonymous.
12/28/2025 21:28,Data science,Final year,"Excel / Google Sheets, SQL, Python, Data cleaning, Data visualization, Machine learning basics",Intermediate,Yes,I understand that my responses are anonymous.
