Job_ID,Job_Title,Role_Category,Company_Name,Job_Type,Skills_Required
J01,Data Analyst – Intern,Data Analytics,RentoMojo,Internship,"SQL, PostgreSQL, MySQL, AWS Athena, AWS Lambda, AWS Glue, Data Pipeline, Google Sheets, Excel, BI Tools, Python"
J02,Data Analytics Intern,Data Analytics,Willhire,Internship,"Excel, Google Sheets, SQL, Python, R, Power BI, Tableau, Data Cleaning, EDA, Statistics"
J03,Apprentice,Data Analytics,Cushman & Wakefield,Entry-level / Apprenticeship,"Excel, Data Analysis, Dashboarding, Power BI, Data Management, Market Analysis, Reporting, Analytics"
J04,Data & Reporting Intern,Data Analytics,Seven Seas Cosmetics,Internship,"Advanced Excel, Google Sheets, Looker Studio, Google Apps Script, Data Cleaning, Reporting, Dashboarding, Automation, SQL (basic)"
J05,Business Analytics Intern,Data Analytics,Right Prompt Technologies,Internship,"Data Cleaning, Data Analysis, Excel, SQL, Data Visualization, Reporting, Statistics, Predictive Modeling, Machine Learning (basic)"
J06,Data Analytics Intern,Data Analytics,Wadhwani Foundation,Internship,"SQL, PostgreSQL, MySQL, Data Cleaning, Data Transformation, Reporting, Power BI, Tableau, Data Visualization, Data Quality Validation"
J07,Business Analytics Intern,Data Analytics,Hireshire,Internship,"Excel, Google Sheets, SQL, Python, R, Data Cleaning, EDA, Statistics, Power BI, Tableau, Dashboarding"
J08,Junior Data Analyst,Data Analytics,Stier Solutions Inc,Full-time,"Excel, Google Sheets, SQL, Power BI, Tableau, Looker, Data Cleaning, Data Analysis, Reporting, Dashboards, KPI Tracking, Data Visualization, Basic Statistics, Business Insights"
J09,Business Analyst Intern,Data Analytics,Truemeds,Internship,"SQL, Python, Excel, Data Analysis, Statistics, Data Visualization, Dashboarding, Reporting, Automation, Cohort Analysis, RCA"
J10,Python AI/ML Intern,AI / ML,Solvative,Internship,"Python, Machine Learning, Data Cleaning, Data Preprocessing, Model Training, Model Evaluation, NumPy, Pandas, Scikit-learn, Matplotlib, SQL (basic), Git, Jupyter Notebook, Deep Learning (basic)"
J11,AI/ML Intern,AI / ML,Extension Technologies,Internship,"Python, SQL, Data Cleaning, Data Visualization, Machine Learning, Statistics, Probability, NumPy, Pandas, Data Pipelines"
